Temperature,L,R,A_M,mass,Type
6225.704592092701,1.89,0.26091668262413825,4.31,0.5103,Dwarf
4516.958061619925,75.18,2.268112322642253,0.782,807.4332000000002,Giant
6059.083943683939,1.54,0.24199859625939324,4.547,0.3388,Dwarf
5995.087567306274,2.38,0.30405517764211154,4.083,0.8091999999999999,Dwarf
5800.437593085512,2.94,0.34927890943629986,3.883,1.2348,Dwarf
4567.37286638686,0.13,0.09327487256191846,7.599,0.0024142857142857147,Dwarf
4674.17173297854,27.66,1.3294771545994284,1.799,109.29651428571428,Giant
5720.585402490921,0.73,0.17647387103003495,5.417,0.07612857142857142,Dwarf
6416.2266051943725,5.75,0.4415843611580911,3.043,4.723214285714286,Other
6644.396553608211,3.24,0.3200931766851026,3.71,1.4996571428571432,Dwarf
